time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-09T22:40:52.641Z,34.3387,45.6771,10,4.3,mb,,122,0.777,0.57,us,us70005hub,2019-09-19T22:44:41.040Z,"21km SW of Sarpol-e Zahab, Iran",earthquake,6.2,1.9,0.169,10,reviewed,us,us
2019-09-09T09:56:03.433Z,38.506,44.1024,10,4.1,mb,,73,0.842,0.73,us,us70005htt,2019-10-10T12:38:21.040Z,"16km SSW of Saray, Turkey",earthquake,5.6,1.3,0.15,12,reviewed,us,us
2019-09-09T06:40:33.517Z,32.9804,76.181,43.93,4.9,mb,,61,2.528,0.6,us,us70005dl7,2019-10-09T14:09:55.040Z,"43km E of Bhadarwah, India",earthquake,8,6.7,0.042,177,reviewed,us,us
2019-09-09T02:57:49.082Z,39.3781,15.4884,251.29,4.5,mb,,48,0.664,1.29,us,us70005djt,2019-09-18T22:45:15.040Z,"41km WSW of Cetraro, Italy",earthquake,4.9,5.6,0.045,147,reviewed,us,us
2019-09-08T23:56:35.848Z,37.3419,71.9799,193.36,4.3,mb,,77,2.111,0.88,us,us70005dj0,2019-09-09T00:19:35.040Z,"16km NE of Roshtqal'a, Tajikistan",earthquake,6.5,10.1,0.129,17,reviewed,us,us
2019-09-08T20:00:17.776Z,37.4988,21.9211,10,4.5,mb,,48,0.319,0.77,us,us70005dgg,2019-09-11T08:28:41.902Z,"22km WNW of Megalopolis, Greece",earthquake,2.2,1.9,0.113,23,reviewed,us,us
2019-09-08T19:13:45.796Z,26.9992,55.5758,10,4.3,mb,,87,2.122,1.05,us,us70005h4r,2019-10-19T19:32:02.040Z,"69km W of Qeshm, Iran",earthquake,7.9,1.8,0.105,26,reviewed,us,us
2019-09-08T10:53:27.902Z,26.9094,55.608,10,4.6,mb,,82,2.028,0.64,us,us70005de5,2019-10-02T06:26:55.040Z,"66km W of Qeshm, Iran",earthquake,4.1,1.9,0.077,50,reviewed,us,us
2019-09-08T10:19:55.266Z,36.5273,70.649,189.69,4.2,mb,,87,1.991,0.46,us,us70005ddw,2019-10-02T06:25:22.040Z,"40km SSW of Jarm, Afghanistan",earthquake,10.5,9.3,0.132,16,reviewed,us,us
2019-09-08T02:34:32.435Z,33.0736,76.1758,10,4.8,mb,,107,2.5,0.74,us,us70005dbm,2019-10-03T22:44:12.040Z,"44km ENE of Bhadarwah, India",earthquake,4.3,1.8,0.066,70,reviewed,us,us
2019-09-07T23:22:00.908Z,45.415,26.1455,139.5,4.1,mb,,46,0.16,1.1,us,us70005daw,2019-09-21T02:20:18.040Z,"8km NNW of Chiojdu, Romania",earthquake,6.8,4.1,0.166,10,reviewed,us,us
2019-09-07T00:30:16.288Z,43.1853,76.8626,10,3.1,ml,,109,1.085,0.88,us,us70005d4m,2019-09-07T05:37:01.040Z,"10km SW of Almaty, Kazakhstan",earthquake,4.4,2,0.128,8,reviewed,us,us
2019-09-06T12:49:34.513Z,36.6473,70.9381,229.51,4.3,mb,,76,1.053,0.45,us,us70005crc,2019-10-09T11:21:48.040Z,"25km SSE of Jarm, Afghanistan",earthquake,6.4,6.5,0.189,8,reviewed,us,us
2019-09-06T08:59:54.815Z,35.8397,31.734,59.39,4.2,mb,,111,1.571,0.6,us,us70005cpr,2019-10-18T12:12:39.977Z,"71km SW of Gazipasa, Turkey",earthquake,6.3,10.4,0.159,11,reviewed,us,us
2019-09-05T17:47:39.933Z,40.1292,19.8521,32.53,4.4,mb,,54,0.418,0.96,us,us70005cfk,2019-09-16T15:50:32.040Z,"9km ENE of Himare, Albania",earthquake,6.1,8,0.149,13,reviewed,us,us
2019-09-04T01:01:32.884Z,35.1737,27.8965,14.36,4.6,mb,,49,0.707,0.93,us,us70005bq9,2019-09-11T22:41:46.040Z,"72km ESE of Karpathos, Greece",earthquake,3.3,4.2,0.065,70,reviewed,us,us
2019-09-03T18:47:00.026Z,27.1596,59.6919,10,4.9,mb,,76,3.834,1,us,us70005bl4,2019-10-17T14:28:41.040Z,"98km W of Iranshahr, Iran",earthquake,7.4,1.8,0.053,118,reviewed,us,us
2019-09-03T16:34:35.294Z,38.9476,70.533,11.93,4.2,mb,,65,0.177,0.62,us,us70005bij,2019-09-10T18:51:41.040Z,"16km ESE of Gharm, Tajikistan",earthquake,5.9,4.5,0.186,8,reviewed,us,us
2019-09-03T14:30:56.915Z,36.4155,70.7402,203.83,4.5,mb,,103,1.334,0.9,us,us70005bhm,2019-09-10T18:32:09.040Z,"43km N of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,6.8,6.2,0.181,9,reviewed,us,us
2019-09-03T12:34:31.592Z,36.4497,70.645,201.66,4.8,mww,,33,1.35,0.79,us,us70005bfw,2019-10-21T14:30:25.040Z,"48km NNW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,6.1,5.3,0.071,19,reviewed,us,us
2019-09-03T11:52:52.396Z,45.5087,26.2188,113.27,4.6,mb,,16,0.193,0.86,us,us70005bfn,2019-10-09T13:32:57.040Z,"12km NNW of Nehoiu, Romania",earthquake,6.4,6.9,0.062,79,reviewed,us,us
2019-09-03T03:30:09.522Z,34.7246,26.5212,41.63,4.5,mb,,109,0.973,0.92,us,us70005bbt,2019-10-08T03:53:39.040Z,"58km SSE of Palaikastron, Greece",earthquake,7.1,8,0.106,26,reviewed,us,us
2019-09-02T15:46:36.470Z,39.254,40.1372,10,4.3,mb,,51,0.812,0.75,us,us70005b6p,2019-11-15T17:21:56.040Z,"6km ENE of Yayladere, Turkey",earthquake,4.2,1.9,0.188,8,reviewed,us,us
